iteration,train_mae,valid_mae
1,2783.126587247204,2522.209334739881
2,2711.8613128507113,2449.56560357056
3,2642.8929630883226,2380.742102661218
4,2576.5041684237294,2313.576680956166
5,2513.0269303882546,2253.14638935364
6,2451.2015751408862,2192.764036122034
7,2391.5661533249613,2134.90329578166
8,2333.994800619025,2079.1430424088226
9,2278.6796889460466,2025.6880065683224
10,2225.693386666299,1977.6397958339803
11,2174.3904513225416,1928.8105357271354
12,2124.7030660509317,1883.1610949344044
13,2076.399200138067,1836.1347738566096
14,2029.8453231750245,1794.5687639306411
15,1985.4217189052604,1751.7624393378153
16,1941.8814969319942,1713.0347443630926
17,1900.4104049184823,1675.6494930690271
18,1859.8880261213444,1636.225913882477
19,1821.058061761698,1601.3427246444546
20,1783.95755239532,1568.0079975668173
21,1748.4113442738842,1536.3437665485808
22,1712.9237289263808,1506.5532610025125
23,1678.4521383321742,1478.1505114163922
24,1646.1488623415403,1447.3147580808088
25,1615.1666415718757,1421.3822910948031
26,1585.831747569702,1397.7097081013035
27,1556.056084635549,1374.2143952067502
28,1528.6300901652842,1351.4599149157098
29,1502.8963787858545,1331.4147007052088
30,1477.4015392807783,1311.8445032320944
31,1453.5092860920236,1292.4272775583831
32,1431.2357757087577,1274.2497489438254
33,1407.9908509596157,1257.2889693344998
34,1387.532054521458,1241.6945035455435
35,1366.7943273368364,1226.9423962710964
36,1346.6181352508288,1212.31575278664
37,1328.2414927894504,1200.871001895332
38,1310.6438695097725,1189.253013980184
39,1294.078106737664,1177.7800312874815
40,1278.3306865896554,1166.7063895080646
41,1263.0929859809598,1161.4416006922802
42,1247.6154101417055,1153.1608311909515
43,1234.3147689014384,1146.1443977109798
44,1220.9972744702056,1141.4773213103454
45,1208.291698055413,1134.5872504977742
46,1196.0085320057717,1131.8750785438715
47,1182.9813523466478,1127.9206037858735
48,1171.255841310388,1122.110230712697
49,1161.2621849515579,1119.9659268197458
50,1150.0977645482023,1115.703446284451
51,1138.9595507477368,1110.5571302347248
52,1129.9849918620052,1106.127609146153
53,1120.0954524963258,1101.8300851182998
54,1110.790391992861,1098.6130095770893
55,1101.596950627779,1094.4856482674736
56,1092.5742642256719,1090.5088060934902
57,1085.0985257180073,1088.6015661218416
58,1077.2450020389597,1085.5229901477185
59,1070.6213382877238,1083.1882319095803
60,1062.8072040056936,1081.1204039516333
61,1056.1999267448427,1078.4935047379809
62,1050.5676988849082,1076.6865250523147
