iteration,valid_l1,train_l1
1,2480.172946685245,2748.396717794247
2,2384.902788255541,2646.9453984686656
3,2297.0814151401623,2552.534545039221
4,2216.6868627679382,2462.1907946234833
5,2138.029994611734,2378.2935119489753
6,2060.7640942234148,2298.745468896766
7,1989.0235934262328,2224.6208272321574
8,1921.6963968330922,2153.078052628472
9,1858.6583663049148,2085.7001574598785
10,1799.3201720132809,2023.2597393247083
11,1741.2659651565423,1961.9542074670221
12,1688.5129003649288,1905.9482516175938
13,1641.4620078927649,1851.6707365810528
14,1594.5385737376162,1801.367020789391
15,1549.7393424222028,1751.5162887646125
16,1510.370842768324,1707.1249301850626
17,1475.0276923485237,1662.787677768756
18,1438.3501381352903,1621.0842422753776
19,1408.0681730888095,1582.5919782687422
20,1377.8075506235405,1546.1702881541744
21,1352.4189357581897,1511.462789940048
22,1326.1061664994513,1479.1672061246945
23,1300.3476045008358,1448.4991888153813
24,1277.1181802322633,1419.7698198969033
25,1257.8866106579906,1391.0455217301069
26,1241.7387551439679,1363.8235900106522
27,1224.9724457414552,1340.5657759320338
28,1211.4536370055564,1316.2676041827463
29,1197.6706593827553,1295.3774313293843
30,1185.8317941670696,1274.4229819538032
31,1174.9874496026564,1255.4539479854525
32,1164.364082857069,1237.9491185351908
33,1154.5842041066537,1220.429423461315
34,1144.9502307965784,1204.4529192840596
35,1137.8054845640115,1189.4115225183211
36,1130.4000635427674,1175.1296846853631
37,1123.9394877054106,1160.4350586784449
38,1117.2478891957944,1148.177161055676
39,1112.216249341355,1136.11483619033
40,1106.4955412289614,1125.2506501167534
41,1101.2877910843406,1115.199747410803
42,1097.0740921535623,1104.7818537054718
43,1093.1956567749935,1094.2080223580697
44,1089.9002699224066,1084.3152585817552
45,1088.1283199742263,1076.0317689064816
46,1086.050258890578,1068.84580746276
47,1084.0867004580352,1060.9949466170142
48,1081.6717816970408,1053.58183728192
49,1079.700723182274,1045.1336180779363
50,1078.6013061585038,1037.4100351416332
51,1076.699076839866,1031.0834343201902
52,1075.5823620747458,1025.4618031780371
53,1074.1033446633019,1019.308816414956
54,1073.1298554851019,1013.9872308367666
55,1072.2713138864538,1008.7877177823134
56,1070.7745862316785,1004.1458779572312
57,1070.2670865473729,999.8175518266219
58,1069.5011777945138,995.6494949234213
59,1068.9612650819818,991.3545644965151
60,1068.3931444359512,988.52106680839
