iteration,train_mae,valid_mae
1,2782.973508179506,2521.949717349867
2,2711.545323348534,2452.722354806537
3,2642.664109822774,2385.3911588766346
4,2576.444417934161,2319.8174954026463
5,2512.7908703896765,2258.362209085771
6,2453.4588189223746,2200.7491560775475
7,2393.9104052709467,2144.558722329253
8,2336.6748068140723,2088.0394923265612
9,2281.4696194604126,2035.1281542741533
10,2227.9906028007554,1981.8238602550841
11,2177.0160245646525,1935.1814558440592
12,2127.9497751278495,1888.22039353645
13,2080.503221849952,1841.238929285821
14,2036.8880664110004,1801.1433049433053
15,1991.4385605602354,1758.7682391830601
16,1951.5200903897062,1720.2723140606872
17,1909.5055772053315,1680.6707255673646
18,1868.854048771501,1644.4011540445308
19,1829.815296100551,1609.0254671211558
20,1791.8135896177757,1576.6768027486912
21,1755.3744919059911,1545.4895369392098
22,1720.8249759067821,1514.5300885151994
23,1687.7108138612152,1483.6533512139847
24,1654.2335657988224,1452.9243308086066
25,1621.729887210606,1425.775944913096
26,1591.4356225445508,1400.0307975802689
27,1562.561162849959,1373.8516035264365
28,1536.0840756078824,1352.6114659511586
29,1510.7105760892523,1330.8160036859733
30,1484.6023383254499,1311.3344760338848
31,1459.0524814660703,1292.8844390362524
32,1434.9590501717773,1274.2418484206596
33,1412.6376984654526,1255.3559315637267
34,1391.205890872615,1238.5246984661624
35,1370.9703627431331,1223.4370348370942
36,1352.4225494247316,1209.20667470488
37,1332.7738669313057,1195.011480949078
38,1314.1393540847619,1182.6332565178163
39,1296.970991879922,1170.7436905315415
40,1280.6937727647046,1160.1151518354422
41,1265.5374828595607,1150.414012666892
42,1250.3151940052678,1139.8475057354688
43,1236.9309172043163,1131.2196581324026
44,1224.1810533113996,1122.6550752763858
45,1210.6949670467295,1118.7887683462366
46,1197.9714855007685,1113.585530409249
47,1185.366190575455,1107.628441157587
48,1173.7627291626106,1101.623293812977
49,1164.1403904330575,1096.8194174612263
50,1153.5858129484004,1092.8010836469084
51,1143.2099251473562,1088.5982418657636
52,1133.6023219031733,1084.1395628451448
53,1125.543357495029,1079.7171548922743
54,1116.9044729332788,1077.9763219343697
55,1108.603160027034,1076.2550954221438
56,1100.202495970725,1073.1163709610785
57,1092.3958518172726,1067.9267521756517
58,1085.235987904291,1065.020402216636
59,1078.3060214012578,1063.6805775986481
60,1072.5736197963645,1061.720556409735
61,1065.997043204558,1062.2240838824262
62,1060.6978861071211,1060.4100471080615
63,1053.8948366112265,1059.3840201993064
64,1047.5717305465153,1056.9898300744603
65,1041.2759259645727,1053.956504860686
66,1035.6302363583052,1055.1333734911927
67,1029.7716715231822,1054.0335704428992
68,1024.3186683615022,1054.3086901176673
69,1019.4506540557788,1053.093481167403
70,1015.0733456296888,1052.689180505449
71,1011.0759501944564,1051.7515552836958
72,1006.6627208685168,1050.922174866886
73,1002.1885104385968,1049.9866985467265
74,997.1095812357662,1049.146956378059
75,993.0766733171607,1048.5024736915143
76,989.0763181057097,1047.3640931139946
77,985.2760288165523,1046.7398355632909
78,981.7273603683926,1047.5419445662756
79,978.7153903175202,1047.5100236432277
80,975.3867517387217,1046.9313718882897
81,972.7975038029991,1047.8094055639594
82,969.2189848095858,1047.555811154135
83,965.6280120940856,1047.4558658757035
84,962.1223579116738,1047.0278321192193
85,958.8439615217392,1046.9341745506165
86,955.194812209004,1046.0077689733391
87,952.0152077731143,1045.2591850124263
88,948.7191375268214,1045.2006580361556
89,945.3101983455723,1044.7916044796639
90,941.6937149804294,1045.023873050557
91,938.4859004851141,1044.9055232890796
92,935.4375260066763,1044.7680953930003
93,932.8538581245217,1044.8068366588589
94,930.419404561464,1044.2090930041577
95,928.5399864216138,1044.0411809158693
96,925.9652045248934,1043.8602148270556
97,924.0357798659691,1044.3089015673545
98,920.3292236297124,1043.8920142501022
99,918.0968645466091,1044.1070918251485
100,915.4214423509361,1044.0730221910894
101,913.8313264781448,1042.948299045791
102,911.4861767715464,1042.7345797809548
103,909.1476549930486,1042.2291011899406
104,906.4716180228727,1041.804215240928
105,904.3056085280493,1041.0968983517948
106,901.8207714678924,1040.6382645389506
107,899.485600496128,1040.1817212215817
108,897.0629870578867,1040.0267098242973
109,894.5866396983782,1040.5885187481804
110,891.6025723305073,1040.7755499091422
111,888.5423698993559,1041.1081568907614
112,885.8828736039802,1040.1264006536944
113,883.6047758094297,1038.6004001780764
114,881.5224106494082,1038.3800738434293
115,879.2572950396534,1038.3506992936598
116,876.9010530567932,1038.3526805065421
117,875.1440014915969,1037.903661642923
118,872.8494357242599,1040.6284538755126
119,870.9244430945088,1040.546223555393
120,869.3356534903061,1040.629961799932
121,867.153470969401,1041.6429829059591
122,865.1812037295462,1041.8304600606668
123,863.4292980544486,1041.6518671550998
124,862.2632252975478,1041.583029939599
125,860.9019195312295,1041.9634216139625
126,858.8987580971254,1041.069038388972
127,857.4415868755405,1040.5361260242191
128,855.637418604028,1040.3407857453442
129,854.1340760004512,1040.3884494002673
130,852.7079952049942,1040.6313985357986
131,851.5672848192647,1041.0749984294525
132,850.1445635378295,1041.2983165300188
133,848.7745875786213,1041.2103540283633
134,847.8715126021714,1041.6952002028306
135,846.8960334917023,1041.3896024731978
136,845.9013093534286,1042.2079647660496
137,844.7791276193002,1044.0442072224148
138,843.1975791313185,1044.1087728800296
139,841.4284063716923,1043.9821916559038
140,840.5382773077157,1044.1396485949379
141,839.0859527515773,1044.4204519746093
142,837.8176305721283,1046.9878357898256
143,836.8942008585144,1048.3804819037657
144,835.5082796962349,1048.4629606558258
145,834.9187067772605,1048.4023238118834
146,833.1702597711919,1048.2692355393176
147,831.6314746057494,1049.3336944999908
148,831.0190174367673,1049.361288478419
149,829.1557553333641,1049.1969058669727
150,827.6542067725989,1050.483648820399
151,826.3627021345493,1050.395229173215
152,825.4957861632116,1049.8794798377842
153,824.4169946191452,1050.2573086303526
154,823.1212141105636,1050.016160356433
155,821.9196183600963,1050.3067675417446
156,820.7908437990301,1050.4213155694713
157,819.6035771360689,1050.6758981310593
158,818.2860627785162,1050.3932726271423
159,817.0510245172111,1050.407710173277
160,816.0693771053568,1050.6245504786477
161,814.7386284437292,1050.4602030362003
162,813.2366166986259,1050.5443859571817
163,812.0235345981948,1051.7035807857415
164,810.6131904412151,1051.5655995372838
165,809.7703392038067,1051.7191238054654
166,808.7034932541764,1051.8505795111084
167,807.120000535809,1052.1706469501949
168,806.647908104256,1052.0789968509728
169,805.8940887929521,1052.2456371303506
170,804.5053430407398,1052.060576060669
171,803.8786630916085,1051.9740382827288
172,803.1448407746699,1053.3672963559716
173,802.0519828607188,1053.8890759427886
174,801.3299401226147,1053.8056062130192
175,800.9487318479028,1054.785712470156
176,800.308299913307,1055.0873619855665
177,799.2684508367746,1055.1555341318478
178,797.7703446955522,1055.0500308675373
179,797.1129134814745,1054.9428568944602
180,796.3505374455995,1055.1934174631435
181,795.093600530637,1055.2838252988363
182,793.5208673517509,1055.4940276025434
183,792.2024289817142,1055.4437784359136
184,791.2711773459732,1055.4822236738535
185,790.8471138293386,1055.5139751751708
186,789.5701291163308,1055.721417611262
187,788.9557699528647,1056.0843610042111
188,788.0883572810518,1056.4277134490644
189,787.3106807655544,1056.9125374379946
190,786.3755608046981,1056.8022470459873
191,785.7700326934464,1056.9215583133448
192,784.8338845604349,1059.2513519791582
193,783.682900693306,1059.5828260210235
194,783.236675925291,1059.4985084701948
195,781.990491375035,1060.116926397732
196,780.6181287834997,1059.9559498816664
197,779.9354567098512,1059.6137045412563
198,779.2193235721812,1059.708736271727
199,778.1408760514627,1059.5141870094355
200,776.6816401563278,1059.2628001290439
201,775.2752877427035,1059.3163743342923
202,774.154022581281,1061.0780645103782
203,772.4855640008105,1061.2936836559209
204,771.8352001894926,1060.9331949131947
205,771.3155389440869,1060.9255895503686
206,770.8206269432749,1061.1016914095137
207,770.5730634009071,1061.0602203070378
208,769.9462626886199,1060.9622708528718
209,768.580663587372,1061.1948279224162
210,767.8193902380914,1061.097117402539
211,767.1421448417071,1061.3652960425109
212,766.3256469678316,1061.6696658673934
213,765.3846736051732,1061.3736760177444
214,764.46619630162,1061.2254119712006
215,763.6960393114691,1061.085732963752
216,762.4751654774844,1061.4142758979933
217,761.7688080241163,1061.279988464874
218,761.026002689442,1061.134958032229
219,760.1233551336072,1061.2656196760913
220,759.3125582498911,1061.2731036413018
221,758.4980260010395,1061.4629967541478
222,757.8649101541288,1061.5685004812854
223,757.0924185535331,1061.630293607404
224,756.1359775126624,1062.3092710356534
225,755.49126846386,1062.3459468779852
226,754.0004460887374,1062.3286945504894
227,753.3271703884246,1062.4290830933344
228,752.67215281313,1061.4141303664
229,752.0775717708663,1061.4640831344382
230,751.2551104049452,1061.4699191566929
231,750.5490216091116,1061.3083203963035
232,750.2125695253848,1061.0898777941857
233,749.3778584652003,1061.3073227633035
234,748.9886118042955,1062.4244581054277
235,748.0804076907792,1063.1493077979574
236,747.2935035008911,1063.4002138623491
237,746.5052528280107,1063.606716308058
238,745.7386980988773,1063.5609148433102
239,744.4317629832897,1063.3624444518339
240,743.4394428530508,1064.234607318524
241,742.5415683254573,1064.3109780261104
242,742.0568500962868,1064.2406561862845
243,741.7255577477523,1064.2140233732518
244,740.924477604349,1064.1083577149884
245,740.2935728276977,1064.1477730565155
246,739.8398587278401,1064.07479398054
247,738.1866835839255,1064.0112725183517
248,737.477494501258,1064.4012811693794
249,736.3152178352948,1064.4040786902863
250,735.0450309336428,1064.4306722088668
251,734.3037546249054,1064.5831491344798
252,733.8972124111714,1064.650902201706
253,732.8523030549737,1064.6952701736438
254,732.3670684837408,1064.7066594881094
255,730.9586952944854,1064.3050312257842
256,730.431213425844,1064.3307968573968
257,729.5087066119128,1064.4194546517433
258,729.0623876467838,1064.498043526041
259,728.0344175697389,1064.393727958082
260,727.3860449391809,1063.9958662857182
261,726.5787602188087,1064.1084185596887
262,725.3858415112104,1064.0730834048516
263,724.6178946711634,1063.7650039905343
264,724.15380715634,1063.7301293693906
265,723.5576206667635,1063.761114985943
266,723.1534543510454,1063.863867565004
267,722.6029186095192,1064.0035518678942
